ID,DATE,VICTIM,GROUP,COUNTRY,LINK,ITALY,🇪🇺 EU/NIS2
,"January 1, 2025",Lian Beng Group,RansomHub,Singapore,lianbeng.com.sg,,
,"January 1, 2025",Kitevuc,CiphBit,Portugal,kitevuc.com,,NIS2 🇪🇺
,"January 2, 2025",ConfluxHR,DarkVault,India,confluxhr.com,,
,"January 2, 2025",Groupe GM,RansomHub,France,groupegm.com,,NIS2 🇪🇺
,"January 3, 2025",Nikki-Universal Co.,Hunters,Japan,n-u.co.jp,,
,"January 3, 2025",Voltaire Avocats,8base,France,voltaire-avocats.com,,NIS2 🇪🇺
,"January 3, 2025",Geeding Construction,RansomHub,USA,geedingconstruction.com,,
,"January 3, 2025",Amourgis & Associates,Lynx,USA,amourgis.com,,
,"January 3, 2025",Jay Enn Corporation,8base,USA,jayenn.com,,
,"January 3, 2025",Carrollton Orthopaedic Clinic,8base,USA,orthowestga.com,,
,"January 3, 2025",ISOR,Cicada3301,France,isor.fr,,NIS2 🇪🇺
,"January 3, 2025",SolGeo AG,8base,Switzerland,solgeo.ch,,
,"January 3, 2025",Lyons Specialty,8base,USA,lyons-aav.com,,
,"January 3, 2025",Alliance Material Handling,RansomHub,USA,alliancemat.com,,
,"January 3, 2025",Grupo Buddemeyer,8base,Brazil,buddemeyer.com.br,,
,"January 3, 2025",Tarnaise des Panneaux,8base,France,tarnaisepanneaux.fr,,NIS2 🇪🇺
,"January 4, 2025",Hasa,ElDorado,Argentina,hasa-arg.com,,
,"January 4, 2025",Peru Controls,ElDorado,Peru,perucontrols.com,,
,"January 4, 2025",Auxis,Apos Security,USA,auxis.com,,
,"January 4, 2025",Ville de Montréal,Rhysida,Canada,montreal.ca/montreal-nord,,
,"January 4, 2025",Maxvalue Credits,Qilin,India,maxvaluecredits.com,,
,"January 4, 2025",SMA The Program Lyfecycle Company,Qilin,USA,smawins.com,,
,"January 4, 2025",Datascan,ElDorado,USA,datascan.com,,
,"January 4, 2025",Legal Services Corporation of Delaware,Qilin,USA,lscd.com,,
,"January 4, 2025",YorkTest Laboratories,Qilin,USA,yorktest.com,,
,"January 5, 2025",Vecchio and Company PLLC,Qilin,USA,,,
,"January 5, 2025",Hunter Taubman Fischer & Li,Lynx,USA,htflawyers.com,,
,"January 5, 2025",Akantha,ElDorado,France,akantha.fr,,NIS2 🇪🇺
,"January 6, 2025",Los Andes,akira,Argentina,losandes.com.ar,,
,"January 6, 2025",Action Imports,akira,Canada,actionimports.com,,
,"January 6, 2025",Maverick Constructors,akira,USA,maverickconstructors.com,,
,"January 6, 2025",Gunnar Prefab,akira,Sweden,gunnarprefab.se,,NIS2 🇪🇺
,"January 6, 2025",WSI Warehouse Specialists,Cl0p^_,USA,wsinc.com,,
,"January 6, 2025",Yoniot,DarkVault,China,yoniot.cn,,
,"January 6, 2025",A Bar A Ranch,akira,USA,abararanch.com,,
,"January 6, 2025",Bluegrass Ingredients,akira,USA,bluegrassingredients.com,,
,"January 6, 2025",Molars,RansomHub,Kenya,molars.co.ke,,
,"January 6, 2025",Velocitors Solutions,Cl0p^_,USA,velsol.com,,
,"January 7, 2025",IRO Paris,8base,France,iroparis.com,,NIS2 🇪🇺
,"January 7, 2025",BBB Industries,SafePay,USA,bbbind.com,,
,"January 7, 2025",Drivestream,akira,USA,drivestream.com,,
,"January 7, 2025",CED Solutions Computer IT Training Centers,8base,USA,cedsolutions.com,,
,"January 7, 2025",Lake Shore Public Schools,8base,USA,lakeshoreschools.org,,
,"January 7, 2025",Muscogee County School District,SafePay,USA,muscogee.k12.ga.us,,
,"January 7, 2025",Sport Boutique,8base,France,sport-boutique.com,,NIS2 🇪🇺
,"January 7, 2025",Ascom SPA,8base,Italy,ascom-italy.it,🇮🇹,NIS2 🇪🇺
,"January 7, 2025",Bergstrom Wines,8base,USA,bergstromwines.com,,
,"January 7, 2025",Jim Thompson,Lynx,Thailand,jimthompson.com,,
,"January 7, 2025",Weininger Metall System GmbH,8base,Germany,weininger-metall-system.de,,NIS2 🇪🇺
,"January 7, 2025",Excel Transportation,Lynx,Canada,exceltransportation.ca,,
,"January 7, 2025",AAA Environmental,akira,USA,aaaenvironmental.com,,
,"January 7, 2025",D-7 Roofing,Lynx,USA,d7roofing.com,,
,"January 7, 2025",Pus Gmbh,Morpheus,Germany,pus-gmbh.eu,,NIS2 🇪🇺
,"January 7, 2025",Collège Saint-Barthélemy,FOG,Belgium,saintbar.be,,NIS2 🇪🇺
,"January 7, 2025",Omnitravel,8base,Belgium,omnitravel.be,,NIS2 🇪🇺
,"January 7, 2025",Hectare,8base,France,hectare.fr,,NIS2 🇪🇺
,"January 7, 2025",Drywall Partitions,akira,USA,drywallpartitions.com,,
,"January 7, 2025",Arrotex Pharmaceuticals,Morpheus,Australia,dbghealth.com.au,,
,"January 7, 2025",Sunflower Medical Group,Rhysida,USA,sunflowermed.com,,
,"January 8, 2025",General Digital,Space Bears,USA,generaldigital.com,,
,"January 8, 2025",General Digital CRM,Space Bears,Taiwan,my-gd.com,,
,"January 8, 2025",Surface Combustion,akira,USA,surfacecombustion.com,,
,"January 8, 2025",SAH Petrol,RansomHub,Turkey,sahpetrol.com.tr,,
,"January 8, 2025",Acqua Fértil,RansomHub,Brazil,acquafertil.com.br,,
,"January 8, 2025",Slawson Companies,akira,USA,slawsoncompanies.com,,
,"January 8, 2025",Huntington Hotel Group,Termite,USA,huntingtonhotelgroup.com,,
,"January 8, 2025",Press Color,akira,USA,presscolorinks.com,,
,"January 8, 2025",King Power Corporation,Abyss,Thailand,kingpower.com,,
,"January 8, 2025",Fort Wayne Medical Education Program,INCRansom,USA,fwmep.edu,,
,"January 9, 2025",Pick n Pay,APT73/BASHE,South Africa,pnp.co.za,,
,"January 9, 2025",Industrias Galfer SA,akira,Spain,galfer.eu,,NIS2 🇪🇺
,"January 9, 2025",Bendix Engineering,MedusaLocker,USA,bendixengineering.com,,
,"January 9, 2025",Northern Lights Electric,akira,USA,northernlightselectricinc.com,,
,"January 9, 2025",Hausarztpraxis Schulstrasse,ThreeAM,Germany,hapsch.de,,NIS2 🇪🇺
,"January 9, 2025",Permoda LTDA,akira,Colombia,permoda.com.co,,
,"January 9, 2025",Castlehill Housing Association,RansomHub,UK,castlehillha.co.uk,,
,"January 9, 2025",Al Ansari Global,EMBARGO,Oman,alansariglobal.com,,
,"January 9, 2025",Depew Gillen Rathbun & McInteer,INCRansom,USA,depewgillen.com,,
,"January 9, 2025",Chain and Rope Suppliers,akira,Ireland,chainandrope.ie,,NIS2 🇪🇺
,"January 9, 2025",FUKOKU,Space Bears,Japan,fukoku-jp.com,,
,"January 9, 2025",Driveline Services,RansomHub,USA,drive-lines.com,,
,"January 9, 2025",Rent-2-Own,Medusa,USA,r2o.com,,
,"January 10, 2025",Metalmatrix Clamps,akira,Brazil,metalmatrix.com.br,,
,"January 10, 2025",Excel Resorcing,RansomHub,UK,excelresourcing.co.uk,,
,"January 10, 2025",Peikko Group,akira,Finland,peikko.com,,NIS2 🇪🇺
,"January 10, 2025",Xtremmedia,RansomHub,Spain,xtremmedia.com,,NIS2 🇪🇺
,"January 10, 2025",TEMO Tekstil,RansomHub,Turkey,temotekstil.com.tr,,
,"January 10, 2025",MIE Industrial SDN,RansomHub,Malaysia,mie.com.my,,
,"January 10, 2025",American Plumbing & Heathing,RansomHub,USA,amerplumb.com,,
,"January 10, 2025",Fairhall Zhang & Associates,RansomHub,Canada,fairhallzhang.com,,
,"January 10, 2025",League Education & Treatment Center,RansomHub,USA,leaguecenter.org,,
,"January 10, 2025",Rotary Thailand,RansomHub,Thailand,rotaryeng.co.th,,
,"January 10, 2025",OmniRide,FOG,USA,omniride.com,,
,"January 10, 2025",Ichikawa North America Corporation,akira,USA,k-felt.co.jp,,
,"January 10, 2025",Caixa de Previdência e Assistência dos Servidores da Fundação Nacional de Saúde,akira,Brazil,capesesp.com.br,,
,"January 10, 2025",Thomas J. Henry Law,akira,USA,thomasjhenrylaw.com,,
,"January 10, 2025",Sheyenne Tooling & Manufacturing,Sarcoma,USA,sheyennemfg.com,,
,"January 10, 2025",Primal Wear,RansomHub,USA,primalwear.com,,
,"January 10, 2025",Qualinet,Rhysida,Canada,qualinet.ca,,
,"January 10, 2025",EVAS Group,ElDorado,Canada,evasair.com,,
,"January 10, 2025",Evidn.,Everest,Australia,evidn.com,,
,"January 10, 2025",Wise Solution and Consulting,RansomHub,Thailand,wisesocon.com,,
,"January 11, 2025",Patriarche Office of Architecture,Hunters,France,patriarche.fr,,NIS2 🇪🇺
,"January 11, 2025",Granby Industries,Black Basta,Canada,granbyindustries.com,,
,"January 11, 2025",Pleasants Construction,Qilin,USA,pleasantsconstruction.com,,
,"January 11, 2025",Barber Specialties,Hunters,USA,barberspec.com,,
,"January 11, 2025",Astaphans Home & Building Center,Lynx,Dominican Republic,astaphans.com,,
,"January 11, 2025",Mortgage Investors Group,Black Basta,USA,migonline.com,,
,"January 11, 2025",Ekomercio,Cl0p^_,Mexico,ekomercio.com.mx,,
,"January 11, 2025",Plasma-Therm,Black Basta,USA,plasmatherm.com,,
,"January 11, 2025",Musicians Institute College,RansomHub,USA,mi.edu,,
,"January 11, 2025",Corob SPA,Hunters,Italy,corob.com,🇮🇹,NIS2 🇪🇺
,"January 11, 2025",Unisource Information Services,Hunters,USA,unisourcejv.com,,
,"January 11, 2025",Costex Tractor Parts,Hunters,USA,costex.com,,
,"January 11, 2025",RocSearch,Hunters,UK,rocsearch.com,,
,"January 11, 2025",T. Hasegawa USA,Hunters,USA,thasegawa.com,,
,"January 11, 2025",Bnext.nl,Black Basta,Netherlands,bnext.nl,,NIS2 🇪🇺
,"January 11, 2025",City of Westhaven,Qilin,USA,cityofwesthaven.com,,
,"January 11, 2025",Avril,Black Basta,Canada,avril.ca,,
,"January 11, 2025",Brachot,Black Basta,Belgium,brachot.com,,NIS2 🇪🇺
,"January 11, 2025",Schuff Steel,Black Basta,USA,schuff.com,,
,"January 11, 2025",Arun Estate Agencies Limited,Black Basta,UK,arunestates.co.uk,,
,"January 13, 2025",Administración Tributaria Provincial Formosa,LockBit3,Argentina,atpformosa.gob.ar,,
,"January 13, 2025",Welcome Hall Mission,Everest,Canada,welcomehallmission.com,,
,"January 13, 2025",Delap & Waller,Lynx,UK,delapandwaller.com,,
,"January 13, 2025",Telering Fachhandelskooperation,LockBit3,Germany,telering.de,,NIS2 🇪🇺
,"January 13, 2025",Sergas Group,Lynx,UAE,sergasgroup.com,,
,"January 13, 2025",Pt Pins Indonesia,DragonForce,Indonesia,pins.co.id,,
,"January 13, 2025",Nicatel,LockBit3,Uruguay,nicatel.com.uy,,
,"January 13, 2025",Candela y Asociados,LockBit3,Spain,candelasyasociados.es,,NIS2 🇪🇺
,"January 13, 2025",OYO Hotel & Casino,LockBit3,USA,oyolasvegas.com,,
,"January 13, 2025",Viaçao Jakarei,LockBit3,Brazil,viacaojacarei.com.br,,
,"January 13, 2025",Fisher Boryles Browdy,Lynx,USA,fisherbroyles.com,,
,"January 13, 2025",Duray J.F. Duncan,Cl0p^_,USA,durayduncan.com,,
,"January 13, 2025",Gelco,LockBit3,Brazil,gelcointernational.com,,
,"January 13, 2025",Conad Soc. Coop.,Lynx,Italy,conad.it,🇮🇹,NIS2 🇪🇺
,"January 13, 2025",Escambia Community Clinics,RansomHub,USA,healthcarewithinreach.org,,
,"January 13, 2025",La Mejor SA,LockBit3,Colombia,lamejor.com.co,,
,"January 13, 2025",Novati Constructions,Lynx,Australia,novaticonstructions.com,,
,"January 13, 2025",Nash Brothers Construction,Lynx,USA,nashbrothers.com,,
,"January 13, 2025",PHG CPAs,Lynx,USA,bushman.biz,,
,"January 14, 2025",The Metropolitan Borough of Gateshead,Medusa,UK,gateshead.gov.uk,,
,"January 14, 2025",Boart & Wire SRL,Sarcoma,Italy,boartandwire.com,🇮🇹,NIS2 🇪🇺
,"January 14, 2025",Bring Solution,8base,Brazil,bringsolutions.com.br,,
,"January 14, 2025",Sharm Reef Hotel,Space Bears,Egypt,sharmreefhotel.com-sharmelsheikh.com,,
,"January 14, 2025",The Chicano Federation,Rhysida,USA,chicanofederation.org,,
,"January 14, 2025",Moinho Globo Alimentos,akira,Brazil,moinhoglobo.com.br,,
,"January 14, 2025",Beyond79,akira,USA,beyond79.com,,
,"January 14, 2025",Indus Towers,Medusa,India,industowers.com,,
,"January 14, 2025",Clnica CES,Qilin,Colombia,clinicaces.edu.co,,
,"January 14, 2025",QualiTech,Lynx,USA,qualitech.com,,
,"January 14, 2025",Wynnewood High School,8base,USA,wynnewood.k12.ok.us,,
,"January 14, 2025",Imperial Valley Respite,INCRansom,USA,ivrespite.com,,
,"January 14, 2025",Kinseth Hospitality Companies,Lynx,USA,kinseth.com,,
,"January 14, 2025",PJ's Rebar,akira,USA,pjsrebar.com,,
,"January 14, 2025",Union Studio,akira,USA,unionstudioarch.com,,
,"January 14, 2025",The University of Oklahoma,FOG,USA,ou.edu,,
,"January 14, 2025",Pittman Construction,LockBit3,USA,pittman-construction.com,,
,"January 14, 2025",Riverina Medical,INCRansom,Australia,rivmed.org.au,,
,"January 14, 2025",Douglas County,Lynx,USA,ddcwsa.com,,
,"January 14, 2025",Intelservice,RansomHub,Nigeria,intelservice.com,,
,"January 14, 2025",Netform GmbH,8base,Germany,net-inform.de,,NIS2 🇪🇺
,"January 14, 2025",OneCare LTC,INCRansom,USA,onecareltc.com,,
,"January 14, 2025",Solaris Pharma,Everest,USA,solaris-pharma.com,,
,"January 14, 2025",Woodport Doors,Lynx,USA,wdp.woodportdoors.com,,
,"January 14, 2025",SciTech Services,FOG,USA,scitechinc.com,,
,"January 14, 2025",AVI Southeast,Medusa,USA,avisoutheast.com,,
,"January 14, 2025",Findhelp Information Services,INCRansom,Canada,findhelp.ca,,
,"January 14, 2025",Thilges & Bernhardt Attorneys at Law,Qilin,USA,tandblawfirm.com,,
,"January 14, 2025",Udb Net,RansomHub,Austria,udb.net,,NIS2 🇪🇺
,"January 14, 2025",Gebäudereinigungsakademie der Wiener Gebäudereiniger Betriebs,8base,Austria,gebaeudereinigungsakademie.at,,NIS2 🇪🇺
,"January 14, 2025",Buttery,FOG,USA,butterycompany.com,,
,"January 14, 2025",Biomedical Caledonia Medical Laboratory,INCRansom,Jamaica,biomedicaljm.com,,
,"January 14, 2025",Moraviakov,8base,Czech Republic,cts-moravia.webnode.cz,,NIS2 🇪🇺
,"January 14, 2025",Spectrum Medical Imaging,INCRansom,Australia,spectrumradiology.com.au,,
,"January 15, 2025",Communisis & Paragon,Lynx,UK,communisis.com,,
,"January 15, 2025",Addison Northwest School District,ThreeAM,USA,anwsd.org,,
,"January 15, 2025",Greyform PRE,SafePay,Singapore,greyform.sg,,
,"January 15, 2025",Safe Coast Seafoods,SafePay,USA,safecoastseafoods.com,,
,"January 15, 2025",Bell & Graham,SafePay,New Zealand,bellandgraham.co.nz,,
,"January 15, 2025",Equipo Postal,SafePay,Spain,equipo-postal.com,,NIS2 🇪🇺
,"January 15, 2025",EuroCert SP,RansomHub,Poland,eurocert.pl,,NIS2 🇪🇺
,"January 15, 2025",Optiline Enterprises,Cactus,USA,optiline.com,,
,"January 15, 2025",Desarrollos Delta,SafePay,Mexico,ddelta.com.mx,,
,"January 15, 2025",FPL Food,Cactus,USA,fplfood.com,,
,"January 15, 2025",Combined Pool,Kairos,USA,combinedpoolandspa.com,,
,"January 15, 2025",AK Constructors,RansomHub,USA,akconstructors.com,,
,"January 15, 2025",Termopuerto SA de CV,SafePay,El Salvador,termopuerto.com,,
,"January 15, 2025",Prestige Maintenance USA,Medusa,USA,prestigeusa.net,,
,"January 15, 2025",Lowe Engineers,Lynx,USA,loweengineers.com,,
,"January 15, 2025",Proexequiales Resurgir,SafePay,Colombia,proexequialesresurgir.com,,
,"January 15, 2025",Betclic Group,APT73/BASHE,Malta,betclic.com,,NIS2 🇪🇺
,"January 15, 2025",J.G. Electrical Installations,Kairos,USA,jgele.com,,
,"January 16, 2025",Lite-Puter,RansomHub,Taiwan,liteputer.com.tw,,
,"January 16, 2025",Solarium Revestimento,RansomHub,Brazil,solariumrevestimentos.com.br,,
,"January 16, 2025",Delta Dental of Washington,8base,USA,deltadentalwa.com,,
,"January 16, 2025",BSE Group SRL,RansomHub,Italy,bsegroup.it,🇮🇹,NIS2 🇪🇺
,"January 16, 2025",A*****Y,FSociety FLocker,Not Available,a*****y.com,,
,"January 16, 2025",The Hoff Brand SL,Everest,Spain,thehoffbrand.com,,NIS2 🇪🇺
,"January 16, 2025",JD Lighting,Sarcoma,USA,jdlighting.com,,
,"January 16, 2025",Anupalan Online Private Limited,KillSec,India,anupalanonline.com,,
,"January 16, 2025",Woodlake Addiction Recovery Center,Everest,USA,woodlakecenter.com,,
,"January 16, 2025",Dona Formosa,Sarcoma,Brazil,donaformosa.com.br,,
,"January 16, 2025",Access Capital Partners,Lynx,France,access-capital-partners.com,,NIS2 🇪🇺
,"January 16, 2025",Volt Infrastructure SRL,Everest,Italy,voltinfra.com,🇮🇹,NIS2 🇪🇺
,"January 16, 2025",Farmacia Cofar,KillSec,Chile,cofar.cl,,
,"January 16, 2025",Platinum Collision,SafePay,USA,platinumcollision.com,,
,"January 17, 2025",Gossett Motor Cars,Lynx,USA,gossettmotorcars.net,,
,"January 17, 2025",Lynx SPA,Morpheus,Italy,lynxspa.com,🇮🇹,NIS2 🇪🇺
,"January 17, 2025",People Encouraging People,INCRansom,USA,peponline.org,,
,"January 17, 2025",Real Tax,Kairos,Canada,realtaxcanada.com,,
,"January 17, 2025",Nightingale Hammerson,Kairos,UK,nightingalehammerson.org,,
,"January 17, 2025",Divimast SRL,akira,Italy,divimast.it,🇮🇹,NIS2 🇪🇺
,"January 17, 2025",Regina Coeli Child Development Center,INCRansom,USA,rccdc.org,,
,"January 17, 2025",Washington Gastroenterology,INCRansom,USA,washgi.com,,
,"January 17, 2025",Federation of Secular Works of the Creuse,APT73/BASHE,France,fol-23.fr,,NIS2 🇪🇺
,"January 17, 2025",Kilgore College,INCRansom,USA,kilgore.edu,,
,"January 17, 2025",Vodotenhika,akira,Croatia,vodotehnika.hr,,NIS2 🇪🇺
,"January 17, 2025",Taylor Regional Hospital,INCRansom,USA,taylorregional.org,,
,"January 18, 2025",Kassin & Carrow,Lynx,USA,kassincarrow.com,,
,"January 18, 2025",Marina Family Medical,Money Message,Australia,marinafamilymedical.com.au,,
,"January 18, 2025",Gonzales Unified School District,SafePay,USA,gonzalesusd.net,,
,"January 18, 2025",USE Federal Credit Union,Qilin,USA,usecreditunion.org,,
,"January 18, 2025",MercuryGate International,Cl0p^_,USA,mercurygate.com,,
,"January 18, 2025",Refreshment Services Pepsi,Qilin,USA,refreshmentservicespepsi.com,,
,"January 18, 2025",Mass Development,BianLian,USA,massdevelopment.com,,
,"January 19, 2025",TG3 Electronics,Rhysida,USA,tg3electronics.com,,
,"January 19, 2025",Welker World-Class Manufacturing,Qilin,USA,welker.com,,
,"January 19, 2025",Richardson Sales Performance,Qilin,USA,richardson.com,,
,"January 20, 2025",Malindo Air,APT73/BASHE,Malaysia,batikair.com.my,,
,"January 20, 2025",D & M Trim,Medusa,USA,dmtriminc.com,,
,"January 20, 2025",Sentinel Systems,Lynx,USA,sentinelsystems.com,,
,"January 20, 2025",Cana Group,Sarcoma,Dominican Republic,canagroupcorp.com,,
,"January 20, 2025",PetroVietnam Exploration Production Corporation,Hunters,Vietnam,pvep.com.vn,,
,"January 20, 2025",Zuk Group,Handala,Israel,zuk.group,,
,"January 20, 2025",Clutch Industries,Lynx,Australia,clutchindustries.com.au,,
,"January 20, 2025",Jacquet Weston Engineering,Sarcoma,UK,jweltd.com,,
,"January 20, 2025",Angotti & Reilly,Lynx,USA,angotti-reilly.com,,
,"January 20, 2025",The Urswick School,Kairos,UK,theurswickschool.co.uk,,
,"January 20, 2025",Compass Underwriting,Sarcoma,UK,compassuw.co.uk,,
,"January 20, 2025",Delta Fabrication and Machine,Medusa,USA,deltafab.net,,
,"January 20, 2025",Rabwin Industries,Qilin,India,rabwin.com,,
,"January 21, 2025",Brunetti,SafePay,USA,brunetti.com,,
,"January 21, 2025",ge*******.com,Cloak,Italy,,🇮🇹,NIS2 🇪🇺
,"January 21, 2025",Nimbus Facility Services,KillSec,Singapore,nimbusforwork.com,,
,"January 21, 2025",Jomarsoft Corp,Cl0p^_,Canada,jomarsoftcorp.com,,
,"January 21, 2025",Supreme Group,RansomHub,India,supremegroup.co.in,,
,"January 21, 2025",Inaya Clinique,Space Bears,Algeria,inayaclinic.org,,
,"January 21, 2025",RETAL Baltic Films,INCRansom,Lithuania,retalfilms.com,,NIS2 🇪🇺
,"January 21, 2025",Bethany Hospital,Space Bears,India,bethanyhospital.in,,
,"January 21, 2025",Solge,SafePay,Spain,solge.es,,NIS2 🇪🇺
,"January 21, 2025",Marukai,Lynx,USA,marukai.com,,
,"January 21, 2025",Miedema Produce,RansomHub,USA,miedemaproduce.com,,
,"January 21, 2025",ICICI Bank,APT73/BASHE,India,icicibank.com,,
,"January 21, 2025",Unknown Target,Sarcoma,USA,,,
